,Alta Verapaz,Baja Verapaz,Chimaltenango,Chiquimula,El Progreso,Escuintla,Guatemala,Huehuetenango,Izabal,Jalapa,Jutiapa,Peten,Quezaltenango,Quiche,Retalhuleu,Sacatepequez,San Marcos,Santa Rosa,Solola,Suchitepequez,Totonicapan,Zacapa
Alta Verapaz,624016,988,104,355,404,1646,14056,186,2008,57,78,6766,224,1399,41,215,102,181,86,276,42,364
Baja Verapaz,2112,160725,66,152,322,547,7147,36,238,74,48,248,71,516,18,102,35,86,26,27,10,296
Chimaltenango,65,18,328710,22,126,1595,20425,76,56,19,37,64,492,314,71,7183,93,139,455,316,80,27
Chiquimula,33,15,15,204446,81,64,1103,9,281,107,191,148,26,7,6,37,7,17,6,19,4,1060
El Progreso,103,82,22,119,94728,109,6298,4,189,225,44,52,26,14,8,52,13,33,22,12,23,667
Escuintla,65,14,132,23,138,384549,11229,29,130,20,57,113,216,41,107,537,73,262,54,516,75,25
Guatemala,447,231,1240,222,1252,6504,2104296,224,511,322,650,469,574,356,295,4230,364,1424,259,363,132,322
Huehuetenango,57,60,110,22,67,362,1601,539419,17,5,19,67,1651,290,105,175,504,36,108,108,182,14
Izabal,347,18,12,236,42,61,1020,12,227156,35,17,366,19,21,5,28,11,8,4,13,18,401
Jalapa,51,11,25,1174,368,226,4558,9,67,191691,1198,106,18,18,8,53,10,889,18,12,8,389
Jutiapa,34,10,46,604,184,379,10734,15,152,769,261635,97,56,18,17,100,37,1251,16,28,16,185
Peten,432,15,10,52,32,34,666,19,193,12,13,298047,16,45,28,45,61,7,76,6,4,43
Quezaltenango,47,26,373,73,108,363,3174,687,142,24,59,136,449024,291,2842,150,2384,70,270,661,1513,64
Quiche,773,107,891,134,212,2093,16914,699,314,189,334,497,1011,445392,118,478,217,410,592,266,159,203
Retalhuleu,32,4,66,15,29,578,2793,94,16,10,11,32,2927,37,171800,47,370,28,25,2268,73,20
Sacatepequez,30,30,3757,17,280,1154,22451,40,33,17,25,26,121,68,26,192742,204,98,84,55,59,20
San Marcos,55,60,183,85,150,357,3548,585,47,14,101,102,7743,105,530,149,467661,38,131,203,104,104
Santa Rosa,53,6,100,57,91,1672,19450,25,45,441,1272,67,70,57,41,160,64,209764,34,44,26,44
Solola,23,17,506,72,80,862,6483,75,121,13,14,77,2670,282,46,386,74,99,224136,2989,331,26
Suchitepequez,116,27,210,142,104,13688,8642,113,92,29,82,85,2525,131,3461,232,314,214,585,278914,141,68
Totonicapan,170,48,452,143,167,872,5644,1383,128,103,276,282,13840,717,311,149,601,495,685,669,198583,83
Zacapa,55,20,21,1011,244,71,1265,4,389,49,55,143,53,25,20,41,14,10,12,17,5,130821